"ARTIKEL","PLAATS","ARTIKELOMSCHRIJVING","MAAT","VOORRAAD","REFERENTIE","BARCODE"
"              181548","VR-01-12","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              181548","VR-01-12","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              334548","VR-01-12","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","46","10","106430","8715316137808"
"              539848","VR-01-12","              539848-VULCANUS-D  LAS/ZW S3 OVN  PD","45","10","106430","8715316072932"
"              701560","VR-01-12","              701560-ROY-XD LG ZW  S2  PU","42","10","106430","8715316020438"
"              722546","VR-01-12","              722546-NORDIC-D LG BR/ZW S3 PUR/PUR","41","10","106430","8715316073991"
"              730848","VR-01-12","              730848-BILLY-D HG ZW S3  OVN PD","43","10","106430","8715316044908"
"              760546","VR-01-12","              760546-RANGER-D HG GRIJS S3 PUR/PUR","44","10","106430","8715316074806"
"              763566","VR-01-12","              763566-NESTOR-XD HG BR/ZW S3 PUR/PUR","44","10","106430","8715316075322"
"              981569","VR-01-12","              981569-CLAY-XD LG ZW ESD PU/PU S3 METAL FREE","48","10","106430","8715316150418"
"              181548","VR-01-13","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","40","5","106430","8715316021930"
"              181548","VR-01-13","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","10","106430","8715316021978"
"              181548","VR-01-13","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              534863","VR-01-13","              534863-MACK M XD HG/ZW  S3 OVN PD WK","44","10","106430","8715316091636"
"              701560","VR-01-13","              701560-ROY-XD LG ZW  S2  PU","42","10","106430","8715316020438"
"              701568","VR-01-13","              701568-LEO-XD LG ZW S3 OVN  PU","43","10","106430","8715316020568"
